,Fighter,Height,Weight(lbs),Style(op),Country,Age,Stance,Reach,WT_class,Date,Opponent,Res.,Decision,Rnd,Time,Event,W,L,D,Oppo_Style(op),Oppo_Country,Oppo_Age,Oppo_Stance,Oppo_Reach,Oppo_WT_class,BMI,Win_Percentage,Day,Month,Year,Oppo_W,Oppo_L,Oppo_D,Oppo_Win_Percentage
0,AJ Dobson,73,185,Muay Thai,USA,31,Orthodox,76,Middleweight,2022-10-22,Armen Petrosyan,L,Decision - Unanimous,3,05:00,UFC 280: Oliveira vs. Makhachev,6,1,1,Muay Thai,Armenia,32,Orthodox,71,Light Heavyweight,24.405141677613063,75.0,22,10,2022,7,2,0,77.77777777777779
3,AJ Dobson,73,185,Muay Thai,USA,31,Orthodox,76,Middleweight,2020-11-07,Kailan Hill,W,KO,1,00:35,SHP 57: Strike Hard Promotions 57,4,0,1,Freestyle,Puerto Rico,28,Southpaw,77,Middleweight,24.405141677613063,80.0,7,11,2020,4,1,1,66.66666666666666
9,AJ Fletcher,70,170,Striker,USA,25,Switch,67,Welterweight,2022-08-20,Ange Loosa,L,Decision - Unanimous,3,05:00,UFC 278: Usman vs. Edwards 2,9,1,0,Striker,Democratic Republic of Congo,29,Orthodox,74,Welterweight,24.389795918367348,90.0,20,8,2022,8,3,0,72.72727272727273
10,AJ Fletcher,70,170,Striker,USA,25,Switch,67,Welterweight,2022-03-12,Matthew Semelsberger,L,Decision - Unanimous,3,05:00,UFC Fight Night: Santos vs. Ankalaev,9,0,0,Freestyle,USA,30,Switch,75,Welterweight,24.389795918367348,100.0,12,3,2022,9,3,0,75.0
11,AJ Fletcher,70,170,Striker,USA,25,Switch,67,Welterweight,2021-08-31,Leonardo Damiani,W,KO/TKO,1,02:24,"Dana White's Contender Series: Season 5, Week 1",8,0,0,Striker,Italy,32,Orthodox,69,Welterweight,24.389795918367348,100.0,31,8,2021,10,2,1,76.92307692307693
30,Abdul Razak Alhassan,70,185,Boxing,Ghana,37,Orthodox,73,Middleweight,2023-01-14,Claudio Ribeiro,W,KO/TKO,2,00:28,UFC Fight Night: Strickland vs. Imavov,11,5,0,Boxing,Brazil,30,Orthodox,77,Middleweight,26.541836734693877,68.75,14,1,2023,10,2,0,83.33333333333334
31,Abdul Razak Alhassan,70,185,Boxing,Ghana,37,Orthodox,73,Middleweight,2022-02-19,Joaquin Buckley,L,Decision - Split,3,05:00,UFC Fight Night: Walker vs. Hill,11,4,0,Striker,USA,28,Southpaw,76,Middleweight,26.541836734693877,73.33333333333333,19,2,2022,13,4,0,76.47058823529412
32,Abdul Razak Alhassan,70,185,Boxing,Ghana,37,Orthodox,73,Middleweight,2021-08-28,Alessio Di Chirico,W,KO/TKO,1,00:17,UFC Fight Night: Barboza vs. Chikadze,10,4,0,Striker,Italy,33,Orthodox,74,Middleweight,26.541836734693877,71.42857142857143,28,8,2021,13,5,0,72.22222222222221
34,Abdul Razak Alhassan,70,185,Boxing,Ghana,37,Orthodox,73,Middleweight,2020-11-14,Khaos Williams,L,KO/TKO,1,00:30,UFC Fight Night: Felder vs. Dos Anjos,10,2,0,Striker,USA,28,Orthodox,77,Welterweight,26.541836734693877,83.33333333333334,14,11,2020,10,1,0,90.9090909090909
35,Abdul Razak Alhassan,70,185,Boxing,Ghana,37,Orthodox,73,Middleweight,2020-07-15,Mounir Lazzez,L,Decision - Unanimous,3,05:00,UFC Fight Night: Kattar vs. Ige,10,1,0,Mixed Martial Artist,Tunisia,35,Orthodox,76,Welterweight,26.541836734693877,90.9090909090909,15,7,2020,9,1,0,90.0
