Fighter,Height,Weight,Style(op),Country,Age,Stance,Wins KO,Losses Ko,Wins Sub,Losses Sub,Total Wins,Total Losses,Total Draw
Niina Aaltonen,0,0,,,,Orthodox,0,0,0,1,0,1,0
Soufyan Aarab,"5' 11""", 141 lbs,,Netherlands,,,0,0,0,0,0,1,0
Tom Aaron,0,0,,,,,0,1,1,0,1,3,0
Tommy Aaron,"5' 11""", 170 lbs,,USA,28,,3,4,2,0,9,6,0
Joshua Aarons,0,0,,,,,0,0,0,2,0,2,0
Mike Aarts,0,0,,,,,0,0,0,1,0,1,0
Zyad Abada,0,0,,,,None,0,0,0,2,0,2,0
Kadzhik Abadzhyan,0,0,,,,,0,1,0,1,0,2,0
Imran Abaev,0,0,,Russia,,,0,0,0,1,0,1,1
Randen Abafo,0,0,,,,,1,0,0,0,1,0,0
Jason Abajian,0,0,,,,,0,1,0,0,0,1,0
Soslan Abanokov,"5' 7""", 135 lbs,Mixed Martial Artist,Russia,33,,1,1,0,3,4,5,0
Ariel Abargel,0,0,,,,,0,0,1,1,1,1,0
Bagautdin Abasov,0,0,,,,,0,0,1,1,1,2,0
Emil Abasov,0,0,Alatengheili,Russia,7/15/198,,0,1,0,0,0,3,0
Shamil Abasov,"6' 0""", 205 lbs,,Russia,,,0,1,0,0,0,1,0
Danny Abbadi,0,0,,,,Orthodox,0,0,0,1,0,2,0
Adil Abbas,0,0,,,,,0,0,0,1,0,1,0
Hussein Abbas-Zade,0,0,,Norway,31,,0,0,0,0,0,1,0
Bakhtiyar Abbasov,0,0,,,11/30/198,,5,3,5,1,11,5,0
Elmir Abbasov,0,0,,,,,0,1,0,0,0,1,0
Elvin Abbasov,0,0,,,,,0,0,0,1,0,1,0
Kiamrian Abbasov,"6' 1""", 185 lbs,,Kyrgyzstan,29,,11,1,4,4,23,6,0
Nariman Abbasov,"5' 8""", 155 lbs,,Azerbaijan,28,Orthodox,12,0,5,1,28,4,0
Darion Abbey,"6' 6""", 260 lbs,,USA,29,,0,2,0,1,0,3,0
Ben Abbott,0,0,,,,,0,0,0,1,0,1,0
David Abbott,0,0,,,7/16/196,Switch,7,7,2,6,10,15,0
Raleigh Abbott,0,0,,USA,10/13/198,,0,1,0,0,0,1,0
Luiz Abdalla,0,0,,Brazil,12/4/199,,0,1,0,0,0,2,0
Adham Abdallah,0,0,,Egypt,,,0,1,0,0,0,1,0
Jamie Abdallah,0,0,,,,,2,3,0,1,2,4,0
Mohammed Abdallah,0,0,,,,,1,0,0,0,1,0,0
Hichame Abdallaoui,0,0,,,,,0,0,0,0,0,1,0
Mohamed Abdel Azim,0,0,,,,,0,1,0,0,0,1,0
Atef Abdel Kawy,0,0,,,,,0,2,0,0,0,2,0
Ricky Abdelaziz,0,0,,USA,3/17/198,,0,0,0,0,0,1,0
Anis Abdelli,0,0,,,,,0,0,0,1,0,1,0
Hamdy Abdelwahab,"6' 2""", 264 lbs,Boxing,Egypt,30,Southpaw,5,0,0,0,6,0,0
Bouaziz Abderhaman,0,0,,Belgium,,,0,0,0,0,0,1,0
Soli Abdeselam Mohamed,0,0,,Spain,,,0,0,0,2,0,2,0
Imran Abdiev,0,0,,Russia,,,0,0,0,1,0,1,0
Azamat Abdikerimov,0,0,,Russia,,,0,1,0,0,0,1,0
Akzholtoy Abdilkhadi Uulu,0,0,,Kyrgyzstan,,,0,1,0,0,0,1,0
Mohamed Abdo,0,0,,Egypt,,,0,1,0,0,0,1,0
Yusef Abdollah,0,0,,,,,0,0,0,1,0,1,0
Mostafa Abdollahi,0,0,,,,,0,0,0,1,0,1,0
Akram Abdolmaleki,0,0,,,,,0,0,0,1,0,1,0
Carol Abdon,0,0,,,,,0,1,0,0,0,1,0
Jordano Abdon,0,0,,,,,0,0,0,1,0,1,0
Abdoul Abdouraguimov,"5' 10""", 170 lbs,,France,27,,2,1,11,0,16,1,0
Melisbek Abdrakhmanov,0,0,,Kyrgyzstan,,,0,1,0,1,0,2,0
Nemat Abdrashitov,0,0,,,10/8/199,,0,1,0,0,0,1,0
Jabari Abduhl-Shakur,0,0,,,,,0,0,0,1,0,1,0
Eslam Abdul Baset,"6' 0""", 185 lbs,,Egypt,29,,0,0,0,0,0,1,0
Tajuddin Abdul Hakim,0,0,,,,,4,1,0,0,7,2,0
Muhammad Abdula,0,0,,,,,0,0,0,1,0,1,0
Ibragim Abdulaev,0,0,,,,,0,0,0,1,0,1,0
Khasanbek Abdulaev,0,0,,,11/28/199,,0,1,0,0,0,1,0
Khirzri Abdulaev,0,0,Sanda,Russia,25,,0,1,0,0,0,1,0
Magomed Abdulaev,0,0,,,,,0,0,0,1,0,1,0
Murad Abdulaev,"5' 9""", 170 lbs,Striker,,,,6,2,2,1,15,6,0
Rasul Abdulaev,0,0,,Russia,,,1,1,0,0,2,1,0
Shamil Abdulaev,"6' 0""", 205 lbs,,Russia,32,,7,0,1,0,13,1,0
Gasan Abdulakhmetov,0,0,,,,,0,0,0,1,0,1,0
Murad Abdulbekov,0,0,,Russia,3/21/198,,0,0,0,0,0,1,0
