Reach,Name,WT_class
"71""",Tommy Aaron,Welterweight
"66""",Nariman Abbasov,Lightweight
"72""",Hamdy Abdelwahab,Heavyweight
"76""",Shamil Abdurakhimov,Heavyweight
"71""",Daichi Abe,Welterweight
"75""",Klidson Abreu,Heavyweight
"68""",Rizvan Abuev,Flyweight
"69""",Lucero Acosta,Women's Flyweight
"75""",John Adajar,Welterweight
"62""",Criszaida Adames,Women's Strawweight
"77""",Anthony Adams,Middleweight
"80""",Juan Adams,Heavyweight
"65""",Zarrukh Adashev,Flyweight
"68""",Christina Adcock,Women's Bantamweight
"70""",James Adcock,Featherweight
"80""",Israel Adesanya,Middleweight
"71.5""",Asael Adjoudj,Featherweight
"64.5""",Rebecca Adney,Strawweight
"68.5""",Mariya Agapova,Women's Flyweight
"72""",Fabio Aguiar,Middleweight
"63""",Jessica Aguilar,Women's Strawweight
"62""",Jesus Aguilar,Flyweight
"73""",Kevin Aguilar,Featherweight
"72""",Christian Aguilera,Welterweight
"74""",Nick Aguirre,Featherweight
"71""",Ashiek Ajim,Bantamweight
"71""",Omari Akhmedov,Light Heavyweight
"73.5""",Yoshihiro Akiyama,Welterweight
"72""",Rostem Akman,Welterweight
"74""",Fatih Aktas,Heavyweight
"72""",Jarrah Al-Silawi,Welterweight
"77.5""",Mostapha Al-Turk,Heavyweight
"75""",Herdem Alacabek,Light Heavyweight
"68""",Amir Albazi,Bantamweight
"68""",John Albert,Bantamweight
"74""",Junior Albini,Heavyweight
"75.5""",Karl Albrektsson,Light Heavyweight
"63""",Alexandra Albu,Women's Strawweight
"78""",Ildemar Alcantara,Middleweight
"71""",Iuri Alcantara,Bantamweight
"72.5""",Hector Aldana,Welterweight
"68.5""",Irene Aldana,Women's Bantamweight
"68""",Jose Alday,Bantamweight
"70""",Jose Aldo,Bantamweight
"67.5""",JJ Aldrich,Women's Flyweight
"74""",Nikolai Aleksakhin,Welterweight
"66""",Irina Alekseeva,Women's Flyweight
"71""",Jim Alers,Featherweight
"72.5""",John Alessio,Lightweight
"73""",Lucas Alexander,Featherweight
"75""",Marcio Alexandre Jr.,Welterweight
"73""",Bill Algeo,Featherweight
"72""",Marat Aliaskhabov,Heavyweight
"72""",Akhmed Aliev,Lightweight
"72""",Nurullo Aliev,Lightweight
"74.5""",Sultan Aliev,Welterweight
"76""",Ikram Aliskerov,Middleweight
"74""",Leon Aliu,Middleweight
"75""",John Allan,Light Heavyweight
"70""",Arnold Allen,Featherweight
"75""",Brendan Allen,Middleweight
"75""",Ben Alloway,Welterweight
"69""",Alexandre Almeida,Featherweight
"68.5""",Ericka Almeida,Women's Strawweight
"79""",Jailton Almeida,Light Heavyweight
"71""",Lucas Almeida,Lightweight
"74""",Ricardo Almeida,Welterweight
"75""",Saul Almeida,Featherweight
"70""",Thomas Almeida,Bantamweight
"70""",Weber Almeida,Featherweight
"66""",Matt Almy,Flyweight
"63""",Sarah Alpar,Women's Bantamweight
"68""",Ali AlQaisi,Featherweight
"70""",Victor Altamirano,Flyweight
"69""",Eddie Alvarez,Lightweight
"69""",Eddie Alvarez,Lightweight
"69""",Jaime Alvarez,Flyweight
"77""",Joel Alvarez,Lightweight
"68""",Rafael Alves,Featherweight
"70""",Thiago Alves,Welterweight
"72""",Warlley Alves,Welterweight
"75.5""",Sam Alvey,Light Heavyweight
"76""",Adlan Amagov,Welterweight
"62""",Rayanne Amanda,Women's Strawweight
"74""",Alen Amedovski,Middleweight
"69.5""",Hyder Amil,Featherweight
"72""",Makwan Amirkhani,Featherweight
"67.5""",Jaqueline Amorim,Women's Strawweight
"75""",Yaroslav Amosov,Welterweight
"70""",Karl Amoussou,Welterweight
"75""",Eryk Anders,Middleweight
"66""",Alyse Anderson,Women's Strawweight
"79""",Corey Anderson,Light Heavyweight
"66""",Elias Anderson,Featherweight
"65""",Laird Anderson,Featherweight
"72""",Megan Anderson,Women's Featherweight
"71.5""",Fabricio Andrade,Featherweight
"62""",Jessica Andrade,Women's Strawweight
"75""",Viscardi Andrade,Welterweight
"72""",Juan Andres Luna,Flyweight
"73.5""",Dylan Andrews,Middleweight
"76""",Nate Andrews,Lightweight
"76""",Arunas Andriuskevicus,Light Heavyweight
"76""",Marcus Andrusia,Lightweight (UFC/WEC)
"77""",Julius Anglickas,Light Heavyweight
"71""",Collin Anglin,Featherweight
"64""",Chad Anheliger,Bantamweight
"75""",Magomed Ankalaev,Light Heavyweight
"70.5""",Gadzhimurad Antigulov,Light Heavyweight
"63""",Adam Antolin,Flyweight
"77""",Azunna Anyanwu,Heavyweight
"70.5""",Shinsho Anzai,Welterweight
"73""",Felipe Arantes,Bantamweight
"77""",Igor Araujo,Welterweight
"68""",Viviane Araujo,Women's Flyweight
"70""",Julio Arce,Featherweight
"69""",Juan Archuleta,Bantamweight
"70""",Dan Argueta,Featherweight
"75""",Hashem Arkhagha,Middleweight
"77""",Andrei Arlovski,Heavyweight
"70""",Garrett Armfield,Featherweight
"72""",Austin Arnett,Featherweight
"69""",Jesse Arnett,Featherweight
"71""",Akbarh Arreola,Lightweight
"73""",Antonio Arroyo,Middleweight
"72.5""",Matt Arroyo,Welterweight
"64""",Veta Arteaga,Women's Flyweight
"71""",Cesar Arzamendia,Featherweight
"63.5""",Kanna Asakura,Women's Atomweight
"73""",Hamilton Ash,Lightweight
"73""",Teddy Ash,Middleweight
"73""",Shaun Asher,Heavyweight
"69.5""",Askar Askar,Featherweight
"67""",Askar Askarov,Flyweight
"74""",Cyril Asker,Heavyweight
"75""",Scott Askham,Middleweight
"73""",Ben Askren,Welterweight
"78""",Tom Aspinall,Heavyweight
"78""",Bruno Assis,Middleweight
"72""",Junior Assuncao,Featherweight
"66""",Raphael Assuncao,Bantamweight
"68.5""",Orazgeldi Atabayev,Bantamweight
"72""",Rich Attonito,Welterweight
"71""",Olivier Aubin-Mercier,Lightweight
"73""",Jose Augusto,Light Heavyweight
"73""",Bruno Augusto dos Santos,Bantamweight
"76""",Stuart Austin,Heavyweight
"74""",Blas Avena,Welterweight
"72""",Chris Avila,Lightweight
"68""",Julia Avila,Women's Bantamweight
"65.5""",Diana Avsaragova,Women's Flyweight
"74""",Saad Awad,Lightweight
"73.5""",Jessin Ayari,Lightweight
"76""",Abu Azaitar,Middleweight
"71""",Ottman Azaitar,Lightweight
"69""",Hunter Azure,Featherweight
"73""",Gregory Babene,Middleweight
"74""",Abraham Bably,Heavyweight
"73""",Itso Babulaidze,Welterweight
"74""",Anthony Baccam,Lightweight
"74""",Niklas Backstrom,Featherweight
"74""",Seth Baczynski,Welterweight
"73""",Ryan Bader,Light Heavyweight
"74.5""",Miguel Baeza,Welterweight
"66""",Ali Bagautinov,Flyweight
"75""",Mehdi Baghdad,Lightweight
"70""",Melsik Baghdasaryan,Featherweight
"73""",Siyar Bahadurzada,Welterweight
"75.5""",Ignacio Bahamondes,Welterweight
"79""",Yannick Bahati,Light Heavyweight
"69""",Jordan Bailey,Lightweight
"70""",Soren Bak,Lightweight
"70""",Gary Balletto Jr.,Welterweight
"78""",Oluwale Bamgbose,Middleweight
"70""",Ricky Bandejas,Bantamweight
"70""",Marcin Bandel,Lightweight
"71.5""",Humberto Bandenay,Featherweight
"71""",Tae Hyun Bang,Lightweight
"71.5""",Carrington Banks,Lightweight
"69""",Shauna Bannon,Women's Flyweight
"63""",Antonio Banuelos,Flyweight
"70""",Shamil Banukayev,Bantamweight
"70""",Renan Barao,Featherweight
"65""",Maycee Barber,Women's Flyweight
"65""",Miranda Barber,Women's Lightweight
"72.5""",Bryan Barberena,Welterweight
"74""",Vojto Barborik,Lightweight
"74""",Lucas Barbosa,Welterweight
"72""",Rafael Barbosa,Featherweight
"75""",Edson Barboza,Featherweight
"67""",Raoni Barcelos,Bantamweight
"72""",Richard Barnard,Bantamweight
"77.5""",Luke Barnatt,Middleweight
"71""",James Barnes,Bantamweight
"76""",Shonte Barnes,Middleweight
"75""",Chris Barnett,Heavyweight
"78""",Josh Barnett,Heavyweight
"72""",Phil Baroni,Welterweight
"73""",Peter Barrett,Featherweight
"74""",Marc-Andre Barriault,Middleweight
"74""",Wilker Barros,Welterweight
"75""",Francimar Barroso,Light Heavyweight
"74""",Connor Barry,Lightweight
"72""",Dean Barry,Welterweight
"74.5""",Pat Barry,Heavyweight
"68""",Jordan Barton,Featherweight
"70""",Enrique Barzola,Bantamweight
"71""",Farid Basharat,Bantamweight
"69""",Javid Basharat,Bantamweight
"67.8""",Shayna Baszler,Women's Bantamweight
"60""",Kyra Batara,Women's Flyweight
"71.5""",Bahatebole Batebolati,Welterweight
"73.5""",Jaylon Bates,Bantamweight
"68.1""",Herdeson Batista,Lightweight
"77""",Bryan Battle,Middleweight
"79""",Alan Baudot,Light Heavyweight
"69""",Mario Bautista,Bantamweight
"73""",Tim Bazer,Welterweight
"68.5""",Jesse Bazzi,Bantamweight
"69""",Chris Beal,Bantamweight
"78""",Donovan Beard,Middleweight
"74""",Salvador Becerra,Lightweight
"66""",Ariel Beck,Women's Flyweight
"75""",Eric Bedard,Heavyweight
"71""",Johnny Bedford,Bantamweight
"66""",Allan Begosso,Bantamweight
"70""",Mirsad Bektic,Featherweight
"68""",Diana Belbita,Women's Bantamweight
"75""",Alan Belcher,Middleweight
"74""",Vitor Belfort,Middleweight
"67""",Cass Bell,Bantamweight
"75""",Rodolfo Bellato,Light Heavyweight
"74.5""",Danilo Belluardo,Lightweight
"69.5""",Marco Beltran,Flyweight
"65""",Joseph Benavidez,Flyweight
"71""",Gabriel Benitez,Featherweight
"68""",Mokhtar Benkaci,Featherweight
"66""",DeAnna Bennett,Women's Flyweight
"73""",Lance Benoist,Welterweight
"68.5""",Ryan Benoit,Flyweight
"69""",Alan Benson,Light Heavyweight
"76""",Kenneth Bergh,Light Heavyweight
"73.5""",Keith Berish,Middleweight
