,Height,Weight(lbs),Style(op),Country,Stance,Reach,WT_class,Res.,W,L,D,Oppo_Style(op),Oppo_Country,Oppo_Stance,Oppo_Reach,Oppo_WT_class,BMI,Win_Percentage,Day,Month,Year,Oppo_W,Oppo_L,Oppo_D,Oppo_Win_Percentage
Height,1,0.812874232,0.135505561,0.060586494,-0.006576882,0.893764628,-0.272970188,-0.019353207,0.255594061,0.152268179,0.025977579,0.11555452,-0.028750518,0.066556974,0.744313476,-0.281819154,0.542285016,0.023657417,0.051612931,-0.047610157,-0.120438359,0.215000654,0.122479311,0.076202852,0.050170671
Weight(lbs),0.812874232,1,0.187921373,-0.006834797,-0.097745098,0.770109254,-0.233863045,-0.022468217,0.243469437,0.127100726,0.025914084,0.16991192,-0.043010039,0.008500791,0.756589195,-0.233905615,0.926907979,0.05835719,0.041633212,-0.03050146,-0.121499907,0.142229274,0.069252902,0.033165738,0.046896803
Style(op),0.135505561,0.187921373,1,0.075038637,-0.066193445,0.1391661,-0.11093255,0.075500299,0.167986382,0.045993416,0.059405397,0.257424743,-0.03682445,0.038001312,0.141509166,-0.126527312,0.186070056,0.038408466,0.024309865,-0.034872849,-0.077216523,0.1781049,0.093993155,0.030539257,0.016356616
Country,0.060586494,-0.006834797,0.075038637,1,0.034495071,0.069542935,-0.062472114,-0.014054379,-0.083164406,0.066796347,-0.083168484,-0.041316116,0.089448767,0.047860815,0.002229801,-0.071288803,-0.056324596,-0.058239693,0.007206111,0.033695246,-0.014876097,-0.016069297,0.007098431,0.005835508,0.007339131
Stance,-0.006576882,-0.097745098,-0.066193445,0.034495071,1,0.014894293,-0.057208384,0.012082921,-0.064759548,-0.056766094,-0.048702953,-0.034439118,0.014282978,0.061837152,-0.019359108,-0.056448126,-0.124744186,0.027233835,0.022002077,-0.000813167,0.067421961,-0.006447634,-0.004270529,-0.010602412,-0.00265762
Reach,0.893764628,0.770109254,0.1391661,0.069542935,0.014894293,1,-0.292502085,0.01200504,0.272421157,0.159165515,0.023031584,0.097320297,-0.035636789,0.057530545,0.732808282,-0.303165286,0.553801564,0.059104863,0.063043679,-0.043821476,-0.101161121,0.233362133,0.134761584,0.056678536,0.054299405
WT_class,-0.272970188,-0.233863045,-0.11093255,-0.062472114,-0.057208384,-0.292502085,1,0.021267405,-0.168947605,-0.080429986,-0.033990966,-0.091661664,-0.045714485,-0.062323441,-0.293930935,0.917071535,-0.173272912,-0.048937919,-0.025541017,0.001281266,-0.034649137,-0.14405421,-0.068433174,-0.033156038,-0.058616809
Res.,-0.019353207,-0.022468217,0.075500299,-0.014054379,0.012082921,0.01200504,0.021267405,1,-0.026646816,-0.054247916,-0.045813085,-0.052214344,0.002583687,-0.01114847,-0.046989541,0.022298503,-0.022207813,0.091771517,0.019924603,-0.003224297,-0.010406309,-0.018720512,0.042605281,0.032291251,-0.060051215
W,0.255594061,0.243469437,0.167986382,-0.083164406,-0.064759548,0.272421157,-0.168947605,-0.026646816,1,0.729927732,0.28973076,0.120801264,-0.02066163,0.028427339,0.28278733,-0.163295767,0.199174094,-0.105483608,0.032517983,-0.015559233,0.07713592,0.411911098,0.260453727,0.103231121,-0.016648896
L,0.152268179,0.127100726,0.045993416,0.066796347,-0.056766094,0.159165515,-0.080429986,-0.054247916,0.729927732,1,0.266604877,-0.00216025,-0.020025878,0.021478257,0.145017976,-0.073136655,0.086815717,-0.565753315,0.030994735,-0.007626287,0.161014056,0.227405061,0.207275219,0.081416559,-0.068712166
D,0.025977579,0.025914084,0.059405397,-0.083168484,-0.048702953,0.023031584,-0.033990966,-0.045813085,0.28973076,0.266604877,1,0.02164827,-0.016134861,-0.050115597,0.029039505,-0.041536408,0.025777727,-0.271618904,0.020989755,0.003151967,0.035758451,0.129751444,0.117439484,0.068006068,-0.051471783
Oppo_Style(op),0.11555452,0.16991192,0.257424743,-0.041316116,-0.034439118,0.097320297,-0.091661664,-0.052214344,0.120801264,-0.00216025,0.02164827,1,0.077252919,-0.02607362,0.110348246,-0.105592868,0.176250679,0.086177751,-0.003487724,-0.026657623,-0.169955131,0.126717536,0.064625143,0.067946718,-0.009169858
Oppo_Country,-0.028750518,-0.043010039,-0.03682445,0.089448767,0.014282978,-0.035636789,-0.045714485,0.002583687,-0.02066163,-0.020025878,-0.016134861,0.077252919,1,0.03033552,0.037665997,-0.046936978,-0.039699649,0.007591561,0.002581393,-0.010254623,-0.010732485,-0.058760249,0.027296616,-0.003644457,-0.028103585
Oppo_Stance,0.066556974,0.008500791,0.038001312,0.047860815,0.061837152,0.057530545,-0.062323441,-0.01114847,0.028427339,0.021478257,-0.050115597,-0.02607362,0.03033552,1,0.067104724,-0.063008621,-0.023176552,0.000331586,-0.014936609,0.011435701,0.057948552,-0.030569447,-0.00347578,-0.008174075,0.019355866
Oppo_Reach,0.744313476,0.756589195,0.141509166,0.002229801,-0.019359108,0.732808282,-0.293930935,-0.046989541,0.28278733,0.145017976,0.029039505,0.110348246,0.037665997,0.067104724,1,-0.288257812,0.642220075,0.077172681,0.028876811,-0.051578511,-0.062791507,0.198292416,0.12075472,0.049358588,0.045012393
Oppo_WT_class,-0.281819154,-0.233905615,-0.126527312,-0.071288803,-0.056448126,-0.303165286,0.917071535,0.022298503,-0.163295767,-0.073136655,-0.041536408,-0.105592868,-0.046936978,-0.063008621,-0.288257812,1,-0.167884781,-0.042328466,-0.013727946,-0.000390049,-0.047997599,-0.128921124,-0.052742733,-0.041959299,-0.061974607
BMI,0.542285016,0.926907979,0.186070056,-0.056324596,-0.124744186,0.553801564,-0.173272912,-0.022207813,0.199174094,0.086815717,0.025777727,0.176250679,-0.039699649,-0.023176552,0.642220075,-0.167884781,1,0.078885523,0.029299612,-0.019137363,-0.103881607,0.083659419,0.030255004,0.001711971,0.035665923
Win_Percentage,0.023657417,0.05835719,0.038408466,-0.058239693,0.027233835,0.059104863,-0.048937919,0.091771517,-0.105483608,-0.565753315,-0.271618904,0.086177751,0.007591561,0.000331586,0.077172681,-0.042328466,0.078885523,1,-0.013830417,0.005500928,-0.068517243,0.050917376,-0.015421892,-0.0115342,0.070458423
Day,0.051612931,0.041633212,0.024309865,0.007206111,0.022002077,0.063043679,-0.025541017,0.019924603,0.032517983,0.030994735,0.020989755,-0.003487724,0.002581393,-0.014936609,0.028876811,-0.013727946,0.029299612,-0.013830417,1,-0.11496334,-0.044919209,0.011032734,0.03038159,-0.013584566,-0.044891339
Month,-0.047610157,-0.03050146,-0.034872849,0.033695246,-0.000813167,-0.043821476,0.001281266,-0.003224297,-0.015559233,-0.007626287,0.003151967,-0.026657623,-0.010254623,0.011435701,-0.051578511,-0.000390049,-0.019137363,0.005500928,-0.11496334,1,-0.0011093,-0.015465118,-0.00301039,-0.042335794,0.025112672
Year,-0.120438359,-0.121499907,-0.077216523,-0.014876097,0.067421961,-0.101161121,-0.034649137,-0.010406309,0.07713592,0.161014056,0.035758451,-0.169955131,-0.010732485,0.057948552,-0.062791507,-0.047997599,-0.103881607,-0.068517243,-0.044919209,-0.0011093,1,0.048152593,0.119998942,0.001747207,-0.123041704
Oppo_W,0.215000654,0.142229274,0.1781049,-0.016069297,-0.006447634,0.233362133,-0.14405421,-0.018720512,0.411911098,0.227405061,0.129751444,0.126717536,-0.058760249,-0.030569447,0.198292416,-0.128921124,0.083659419,0.050917376,0.011032734,-0.015465118,0.048152593,1,0.706213998,0.330732648,-0.174616683
Oppo_L,0.122479311,0.069252902,0.093993155,0.007098431,-0.004270529,0.134761584,-0.068433174,0.042605281,0.260453727,0.207275219,0.117439484,0.064625143,0.027296616,-0.00347578,0.12075472,-0.052742733,0.030255004,-0.015421892,0.03038159,-0.00301039,0.119998942,0.706213998,1,0.3204214,-0.674691476
Oppo_D,0.076202852,0.033165738,0.030539257,0.005835508,-0.010602412,0.056678536,-0.033156038,0.032291251,0.103231121,0.081416559,0.068006068,0.067946718,-0.003644457,-0.008174075,0.049358588,-0.041959299,0.001711971,-0.0115342,-0.013584566,-0.042335794,0.001747207,0.330732648,0.3204214,1,-0.303876211
Oppo_Win_Percentage,0.050170671,0.046896803,0.016356616,0.007339131,-0.00265762,0.054299405,-0.058616809,-0.060051215,-0.016648896,-0.068712166,-0.051471783,-0.009169858,-0.028103585,0.019355866,0.045012393,-0.061974607,0.035665923,0.070458423,-0.044891339,0.025112672,-0.123041704,-0.174616683,-0.674691476,-0.303876211,1
